,Title,Description,Date,Source,Urls
78,"Telangana’s own tax revenue at 88% in 2023-24 is the highest in the country, says Economic Survey","Telangana is next to Punjab and Haryana in irrigation area coverage, achieved 100% coverage under Jal Jeevan Mission",6 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/telanganas-own-tax-revenue-at-88-in-2023-24-is-the-highest-in-the-country-says-economic-survey/article69163167.ece
79,India needs to develop climate-resilient crop varieties: Economic Survey,"The Survey also underlined that extreme weather conditions — such as cyclones, heavy rains, floods, thunderstorms, hailstorms, and droughts — impact vegetable production and prices.",6 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-2024-25-india-needs-to-develop-climate-resilient-crop-varieties/article69163231.ece
80,Economic Survey 2025: Domestic IT Market Expected To See 6% Growth,"For the year, tech exports in total reached nearly $200 billion, reflecting a growth of 3.3%.",6 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/budget/economic-survey-2025-domestic-it-market-expected-to-see-6-growth
81,"Why stock market is rising today: 5 key factors behind today's rally; Sensex soars 600 pts, Nifty above 23,400","Sensex and Nifty50 extended gains for the fourth session, driven by pre-Budget optimism, GDP growth projections, a tech stock rebound, and RBI rate cut expectations. The BSE market cap surged by ₹5.47 lakh crore to ₹423.34 lakh crore.",6 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/why-stock-market-is-rising-today-5-key-factors-behind-todays-rally-sensex-soars-600-pts-nifty-above-23400/articleshow/117783991.cms
82,"Economic Survey pitches for policy shift to cut cereal output, boost pulses, edible oils","The document emphasized the growing importance of allied sectors like animal husbandry, dairying and fisheries for income diversification",6 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-pitches-for-policy-shift-to-cut-cereal-output-boost-pulses-edible-oils/article69163262.ece
83,Economic Survey 2024-25: Data centre market expected to grow to $11.6 bn by 2032,"“India benefits from lower construction costs on account of its well-established IT and digitally enabled services ecosystem, as well as relatively affordable real estate,” it said",6 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-2024-25-data-centre-market-expected-to-grow-to-116-bn-by-2032/article69163247.ece
84,SRF Shares Hit Life High After Citi Hikes Target Price,"SRF share price rose as much as 2.26% to Rs 2,895 apiece to hit fresh life high.",6.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/srf-shares-hit-life-high-after-citi-hikes-target-price
85,Accelerate private investment in many critical sectors to achieve goal of ‘Viksit Bharat@2047’: Economic Survey,"Private participation should accelerate in many critical infrastructure sectors in many ways — programme and project planning, financing, construction, maintenance, monetisation and impact assessment",6.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/economic-survey-2024-25-on-viksit-bharat-2047-private-investments/article69163230.ece
86,"Vedanta Q3 Results: Profit Surges 76%, Beats Estimates","Vedanta's strong Q3FY25 performance was driven by a 30% year-on-year increase in Ebitda to Rs 11,104 crore, with margins expanding to 28.4%.",6.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/quarterly-earnings/vedanta-q3-results-fy25-profit-surges-76-beats-estimates
87,"Marico Q3 Results: PAT rises 4% YoY to Rs 399 crore, revenue jumps 15%","Marico Ltd posted a 4% YoY rise in Q3 net profit to ₹399 crore, with revenue up 15% to ₹2,794 crore. EBITDA grew 4%, but margins declined due to rising input costs. India business saw 6% volume growth.",6.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/earnings/marico-q3-results-pat-rises-4-yoy-to-rs-399-crore-revenue-jumps-15/articleshow/117783303.cms
88,Economic Survey predicts steady path with focus on consumption and trade: Radhika Rao,"​So, from that angle, it is right. I think what will be important to see is also what the survey says and what the government assumes as well in terms of what is going to be driving this growth and I think that will kind of give us direction on which way the budget is going to go, where I think it is going to be a three-pronged consumption investment as well as trade, they are going to emphasise in all of that and I think subsequent comments that we have seen coming out of the Economic Survey seems to suggest integrating India much more into the global value chain, certainly very important, and ways to remove remaining impediments.",6.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/economic-survey-predicts-steady-path-with-focus-on-consumption-and-trade-radhika-rao/articleshow/117782759.cms
89,Indian G-Sec bonds debut Bloomberg EM Index today,"Indian government bonds (FAR bonds) join Bloomberg's Emerging Markets Local Currency Government Indices from January 31, with a phased 10-month inclusion. This move is expected to boost foreign investor participation, following a similar inclusion by JP Morgan in 2024.",6.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/bonds/indian-g-sec-bonds-debut-bloomberg-em-index-today/articleshow/117782846.cms
90,"Biggest risk for Nifty bulls in 2025 could come from Wall Street, warns Economic Survey","The Economic Survey 2025 warns that elevated US stock market valuations increase the likelihood of a correction in 2025, which could ripple through global markets, including India. The survey highlights the vulnerability of sentiment-driven rallies and their impact on investor confidence. It stresses the need for vigilance, especially with India’s correlation to US market trends.",6.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/biggest-risk-for-nifty-bulls-in-2025-could-come-from-wall-street-warns-economic-survey/articleshow/117782679.cms
91,"Budget 2025: IT, hospital, textile stocks offer growth opportunities, says Santosh Pandey of Nuvama","Budget 2025:  Santosh Pandey of Nuvama highlights waning interest in PSU, railways, and capex stocks before the budget. He sees growth potential in IT, hospitals, and textiles, while chemicals, cement, and rural-focused consumer companies offer valuation comfort but need earnings revival.",6.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/budget-2025-it-hospital-textile-stocks-offer-growth-opportunities-says-santosh-pandey-of-nuvama/articleshow/117782437.cms
92,Budget 2025: India story can’t be over by 10-15% market correction; this Budget looking at capex & fiscal path beyond 2026: Madhu Kela,"Market expert Madhu Kela advises investors to leverage market volatility for finding key investment opportunities. Expecting modest returns this year, Kela emphasizes on meticulous research, identifying value stocks, and not overpaying. He is optimistic about India's long-term growth despite market corrections and acknowledges the budget's potential impact on capital expenditure and fiscal policies beyond 2026.",7 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/budget-2025-india-story-cant-be-over-by-10-15-market-correction-this-budget-looking-at-capex-fiscal-path-beyond-2026-madhu-kela/articleshow/117780666.cms
93,These 9 stocks from Rekha Jhunjhunwala's portfolio surged 15-105% in FY25,"As of Q3 FY24, Rekha Jhunjhunwala holds stakes in about 20 companies, valued at Rs 20,000 crore (Jan 30), with stakes above 1% in some firms.",7 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/these-9-stocks-from-rekha-jhunjhunwalas-portfolio-surged-15-105-in-fy25/slideshow/117782344.cms
94,"Swaminathan Aiyar warns of economic uncertainty, urges caution amid Trump’s influence on markets",​Nirmala Sitharaman I think was all set to do a solid budget in which she would claim victory that she had set a five-year target of reducing the fiscal deficit and she has achieved that with rising capex and 7% growth.,7 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/swaminathan-aiyar-warns-of-economic-uncertainty-urges-caution-amid-trumps-influence-on-markets/articleshow/117780811.cms
95,"European shares at record peak as tech, healthcare lend support","European shares were at a record high on Friday, led by technology and healthcare stocks, even as caution prevailed ahead of the U.S. tariff deadline set by President Donald Trump.",7 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/european-shares-at-record-peak-as-tech-healthcare-lend-support/articleshow/117781054.cms
96,"Malpani Pipes IPO subscribed over 41 times so far on Day 3: Check GMP, price band and other details","Malpani Pipes IPO: Ahead of listing, Malpani Pipes And Fittings' shares traded at a Rs 10-11 GMP on Friday, an 11% premium over the Rs 90 IPO price band. Net IPO proceeds will fund capital expenditure on plant and machinery, debt repayment, and general corporate purposes, supporting the company's growth and financial stability.",7 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/malpani-pipes-ipo-subscribed-over-41-times-so-far-on-day-3-check-gmp-price-band-and-other-details/articleshow/117780910.cms
97,Tech stocks help Nikkei eke out small gain,"Japan's Nikkei share average closed slightly higher on Friday as technology stocks tracked Wall Street's overnight gains, while a stronger yen weighed on market sentiment and U.S. tariff worries lingered.",7.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/tech-stocks-help-nikkei-eke-out-small-gain/articleshow/117780454.cms
98,Privatisation: India’s equivalent to DOGE for government efficiency and for job creation,"India's economic growth has slowed, with GDP dropping to 5.4%. Economists stress the need for urgent policy changes, including large-scale privatisation. This approach can improve efficiency, generate jobs, and drive economic growth, as seen in sectors like aviation and banking. Privatisation is key to revitalising India's economy, creating a competitive and prosperous future.",7.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/privatisation-indias-equivalent-to-doge-for-government-efficiency-and-for-job-creation/articleshow/117779872.cms
99,"Six Stocks In the News At Noon: Nestle India, Tata Consumer, SRF, And More",These stocks are in focus today due to their earnings reports and market movements.,7.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/six-stocks-in-the-news-at-noon-nestle-india-tata-consumer-srf-and-more
100,Ola Electric Share Price Surges After Launch Of Gen 3 Scooter,"Ola has launched its Gen 3 electric scooters, available in four models: S1 X, S1 X+, S1 Pro, and S1 Pro+.",7.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/ola-electric-share-price-surges-after-launch-of-gen-3-scooter
101,Lodha brothers agree to go for mediation to resolve dispute over ‘Lodha’ trademark,"Elder brother Abhishek Lodha’s Macrotech developers is fighting for its brand name Lodha, with younger brother’s House of Abhinandhan Lodha",7.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/lodha-brothers-agree-to-go-for-mediation-to-resolve-dispute-over-lodha-trademark/article69162923.ece
102,"Economic Survey 2024-25: full document, highlights",,7.5 hours ago,— The Hindu Business,https://www.thehindu.com/news/resources/economic-survey-2024-2025-full-document-and-highlights/article69162933.ece
103,1991: When Indian economy opened to the world,"The Budget that shaped India series looks at Budgets which proved pivotal to the Indian economy.The reforms announced in 1991 became acronymic as LPG: Liberalisation, Privatisation and Globalisation. In his maiden budget presentation in 1991, finance minister Manmohan Singh found himself tried to find a solution to fiscal imbalances, inflation and weakening international confidence.",7.5 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/1991-union-budget-manmohan-singh-when-indian-economy-opened-to-the-world/article69162723.ece
104,Top 5 stocks with consistent rise in FIIs holding,"FIIs have consistently increased stakes in KFin Technologies, GE Vernova T&D India, Sundaram Finance, Computer Age Management Services, and Coforge from December '24 to December '25, signaling positive market outlook.",8 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/web-stories/top-5-stocks-with-consistent-rise-in-fiis-holding/slideshow/117779213.cms
105,"Nestle India’s shares zoom over 7% on posting 5% YoY jump in PAT, Rs 14.25 dividend","Nestle India share price: The company’s revenue from operations for the third quarter rose 3.9% year-on-year (YoY) to Rs 4,779.73 crore, compared to Rs 4,600.42 crore in the same quarter last year. Nestle India reported total sales of Rs 4,762.1 crore for the third quarter ended December 2024, reflecting a 3.9% overall sales growth and a 3.3% increase in domestic sales.",8 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/nestle-indias-shares-zoom-over-7-on-posting-5-yoy-jump-in-pat-rs-14-25-dividend/articleshow/117779162.cms
106,"TCS, SBI Card among 5 stocks with short covering","Five stocks, including SBI Card, Coforge, and TCS, saw short covering on January 31, leading to a decrease in open interest and minor stock price increases.",8 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/tcs-sbi-card-among-5-stocks-with-short-covering/slideshow/117778999.cms
107,Can the RBI and govt come to the rescue of investors?,"Emerging markets are underperforming the US, and India is lagging within EMs. Over the past three months, MSCI EM fell 4%, while the S&P 500 gained 3.24% (as of Jan 27). India’s underperformance has worsened this month, making the gap more pronounced and highlighting a broader shift in global market trends.",8 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/can-the-rbi-and-govt-come-to-the-rescue-of-investors/articleshow/117778583.cms
108,Lodha Vs Lodha: Siblings To Move Towards Mediation In Trademark Dispute,"Abhishek Lodha, managing director and chief executive officer of Macrotech Developers, said that the issue at hand is not a family dispute but a trademark dispute.",8 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/lodha-vs-lodha-siblings-to-move-towards-mediation-in-trademark-dispute
109,Dinshaw Irani on proactive investment strategy during volatility,"Dinshaw Irani advises selective stock picking during market volatility, focusing on resilient sectors like IT, banking, and financials. He sees 2025 as a stock-picker’s market with opportunities for long-term growth.",8 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/dinshaw-irani-on-proactive-investment-strategy-during-volatility/slideshow/117778516.cms
110,"Hindustan Zinc, Aurobindo Pharma among 8 firms where promoter pledge decline in Q3","Promoters of several Nifty500 companies reduced share pledges in Q3 FY25, with notable decreases in Aurobindo Pharma, Hindustan Zinc, Apollo Hospitals, and Jindal Steel, reflecting a trend of reduced reliance on pledged shares.",8.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/hindustan-zinc-aurobindo-pharma-among-8-firms-where-promoter-pledge-decline-in-q3/slideshow/117778413.cms
111,"Dr. Agarwal's Healthcare IPO subscribed 80% so far on Day 3: Check GMP, price band and other details","Dr. Agarwal's Healthcare IPO: The retail portion was subscribed 29%, while non-institutional investors subscribed 17%. Meanwhile, qualified institutional buyers (QIBs) subscribed 2.44 times their allocated portion.",8.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/ipos/fpos/dr-agarwals-healthcare-ipo-subscribed-80-so-far-on-day-3-check-gmp-price-band-and-other-details/articleshow/117777972.cms
112,Indian Stocks Likely To Revive Soon After Second-Longest Rout In A Decade,Nifty Midcap and Smallcap indices are on course to record the biggest monthly fall since March 2020.,8.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/indian-stocks-likely-to-revive-soon-after-second-longest-rout-in-a-decade
113,Govt's third term witnessing work at thrice the speed of previous dispensations: President Murmu,"Addressing a joint session of Parliament, signalling the start of the Budget session, Ms. Murmu said the government has placed special focus on the education of the youth and is creating new employment opportunities",8.5 hours ago,— The Hindu Business,https://www.thehindu.com/news/national/govts-third-term-witnessing-work-at-thrice-the-speed-of-previous-dispensations-president-murmu/article69162847.ece
114,Will the Budget help stabilise the markets?,"The FY25 Budget allocated Rs 11.1 lakh crore for capex, but we may miss the target by 10-12%. Over five years, capex as a share of GDP has doubled to 3.2%, and this momentum is expected to continue. However, the focus must shift from allocation to execution, ensuring projects meet growth targets effectively.",9 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/will-the-budget-help-stabilise-the-markets/articleshow/117776475.cms
115,First time no foreign attempt made since 2014 to stoke trouble before Parliament session: PM Modi,"PM Modi anticipates a peaceful Budget session with no foreign interference, aiming for inclusive development and gender empowerment",9 hours ago,— The Hindu Business,https://www.thehindu.com/business/budget/first-time-no-foreign-attempt-made-since-2014-to-stoke-trouble-before-parliament-session-pm-modi/article69162827.ece
116,TARS Project Management increases stake in US-based UMB Bank to 33%,"“This strategic move reflects TARS’ commitment to expanding its presence in the U.S. banking sector and furthering its vision of driving transformational change within financial institutions,” TARS said",9 hours ago,— The Hindu Business,https://www.thehindu.com/business/Industry/tars-project-management-increases-stake-in-us-based-umb-bank-to-33/article69162745.ece
117,Bank Holidays In February 2025: Banks To Remain Close For Up To 14 Days; Check Full List,"Notable bank holidays in February 2025 include Chhatrapati Shivaji Maharaj Jayanti, Mahashivratri, Saraswati Puji and more.",9 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/bank-holidays-in-february-2025-banks-to-remain-close-for-up-to-14-days-check-full-list
118,"Budget 2025: HAL, BEL Are Sanjeev Hota's Top Picks In Defence Pack",Hota emphasised HAL and BEL were well-positioned to benefit from the government's focus on indigenisation and increased defence spending.,9 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/budget/budget-2025-hal-bel-are-sanjeev-hotas-top-picks-in-defence-pack
119,Blinkit Blitz: Zomato shares tank 30% from peak. Is it overloading the delivery menu?,"Zomato's stock has dropped 30% from its peak in early 2025, leading to concerns about its growth trajectory. The company reported a significant loss in Blinkit due to heightened competition and substantial investments. Nevertheless, Zomato is committed to expanding Blinkit, Hyperpure, and quick restaurant delivery services, despite mixed analyst opinions on its future prospects.",9 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/blinkit-blitz-zomato-shares-tank-30-from-peak-is-it-overloading-the-delivery-menu/articleshow/117775661.cms
120,Shree Cement Bets On Improved Ebitda Per Tonne To Drive Q4 Growth,"Shree Cement’s standalone revenue from operations fell 13% year-on-year to Rs 4,235 crore in the December quarter.",9 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/shree-cement-bets-on-improved-ebitda-per-tonne-to-drive-q4-growth
121,Union Budget 2025: What do farmers want?,"“All the earlier Budgets of the Modi regime have fattened a handful of crony domestic corporates and international finance capital and have squeezed all sections of the working people,” says CPI(M) leader Ashok Dhawale",9 hours ago,— The Hindu Business,https://www.thehindu.com/opinion/op-ed/union-budget-2025-what-do-farmers-want/article69162630.ece
122,"Govt needs to be a little bold, do more on privatisation for market to recover: Arvind Sanger","Arvind Sanger of Geosphere Capital Management emphasizes the need for bold government action to stimulate the struggling economy. He suggests that increased infrastructure spending and consumer incentives in the Budget could revive business and consumer confidence. Sanger notes the downturn in small and midcap stocks, and sees potential in select banks and sectors for investment opportunities.",9 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/govt-needs-to-be-a-little-bold-do-more-on-privatisation-for-market-to-recover-arvind-sanger/articleshow/117775076.cms
123,Ola Electric Unveils Gen 3 Scooter To Reclaim Pole Position In EV Race,The top-end Ola S1 Pro+ has become the first electric scooter to be powered by a Made in India battery. It gets the ‘4680 Bharat Cell’ manufactured at the Ola Gigafactory.,9.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/auto/ola-electric-unveils-gen-3-scooter-to-reclaim-pole-position-in-ev-race
124,Amisha Vora handpicks 5 largecaps as pre-budget picks for investors to capitalize on structural growth trend,"hairperson of PL Capital, Amisha Vora, anticipates a growth-focused Budget 2025 with strong GDP projections for FY26. Key sectors poised for growth include railways, defence, power, and data centers. Largecap stocks like L&T, Siemens, HDFC Bank, Britannia, and Max Healthcare are well-positioned to benefit. Despite the current slowdown, a gradual recovery is expected as inflation peaks.",9.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/amisha-vora-handpicks-5-largecaps-as-pre-budget-picks-for-investors-to-capitalize-on-structural-growth-trend/slideshow/117775125.cms
125,Is the stock market open this Saturday for the Budget? Check timings,"The Indian stock market will remain open on Saturday, February 1, 2025, as Finance Minister Nirmala Sitharaman presents the Union Budget 2025-26. Investors will react in real-time to fiscal policies, tax reforms, and sector allocations. Despite regular trading hours, February 1 is a settlement holiday, and heightened market volatility is expected across key sectors.",9.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/is-the-stock-market-open-this-saturday-for-the-budget-check-timings/articleshow/117774946.cms
126,"Q3 Results Live: Nestle Profit Rises 5%; ONGC, Sun Pharma, IndusInd Bank Shares Rise Ahead Of Earnings","Other companies that will announce their earnings on Friday include City Union Bank, Five-Star Business Finance, Karnataka Bank, Aptus Value Housing Finance India and Equitas Small Finance Bank.",9.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/quarterly-earnings/q3-results-2025-today-ongc-nestle-vedanta-bandhan-bank-inox-wind-sun-pharma-pnb-quarterly-earnings-live-blog
127,SRF shares soar over 8% in 2 days to hit a new 52-week high. Here’s why,"SRF shares surged 8.5% in two days, hitting a 52-week high after strong Q3 FY25 results. PAT rose 7% YoY to Rs 271 crore, while revenue grew 14% to Rs 3,491 crore. The chemicals and packaging films businesses saw solid growth. Jefferies maintained an 'underperform' rating, citing stretched valuations and muted specialty chemicals demand.",9.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/srf-shares-soar-over-8-in-2-days-to-hit-a-new-52-week-high-heres-why/articleshow/117773961.cms
128,"Markets trade higher in early trade driven by surge in L&T, rally in U.S. equities","Sensex and Nifty surge ahead of Union Budget, led by Larsen & Toubro gains and positive global cues",10 hours ago,— The Hindu Business,https://www.thehindu.com/business/markets/markets-trade-higher-in-early-trade-driven-by-surge-in-lt-rally-in-us-equities/article69162556.ece
129,"Will Maintain Margin Guidance At 3-3.1%, Says Bank Of Baroda MD","Bank of Baroda will focus on bringing down the cost of deposits and optimising yield on advances through higher return loans, Debadatta Chand told NDTV Profit.",10 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/bank-of-baroda-will-maintain-margin-guidance-at-3-31-says-md
130,Reduce trading size on Budget day: Zerodha’s Nithin Kamath advises caution to traders,"Ahead of India's FY26 Union Budget announcement on February 1, Zerodha CEO Nithin Kamath advised traders to exercise caution due to expected market volatility. In a post on X (formerly Twitter), Kamath suggested reducing position sizes on event-heavy days, especially for active traders, to mitigate risks associated with heightened market fluctuations during the budget announcement.",10 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/reduce-trading-size-on-budget-day-zerodhas-nithin-kamath-advises-caution-to-traders/articleshow/117773758.cms
131,Federated Hermes Says Indian Stocks Battling ‘A Perfect Storm’,"The Nifty 50 is trading at 18.8 times its estimated forward earnings, versus a multiple of 11.9 times for the MSCI Emerging Markets Index.",10 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/federated-hermes-says-indian-stocks-battling-a-perfect-storm
132,ETMarkets Smart Talk: Market tax simplification in Budget 2025? Shrikant Chouhan of Kotak Securities on LTCG & STT,"On the expenditure side, revenue spending is expected to rise by 5%, while capital expenditure is projected to grow at a robust 15%, emphasizing infrastructure development.",10 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-market-tax-simplification-in-budget-2025-shrikant-chouhan-of-kotak-securities-on-ltcg-stt/articleshow/117773414.cms
133,Budget 2025: What analysts expect from key sectors,"As Finance Minister Nirmala Sitharaman prepares to present the Union Budget FY25-26, key focus areas are expected to include automobile, defence, railways, real estate, and energy sectors. Key initiatives anticipated include tax exemptions for affordable housing, increased allocations to renewable energy, and reforms to promote electric vehicle adoption.",10 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/budget-2025-what-analysts-expect-from-key-sectors/slideshow/117773537.cms
134,Jindal Steel & Power Shares Tumble 14% — Here's What Triggered The Fall,"Jindal Steel & Power's Ebitda during the quarter missed analysts' estimates by around 3%, the first time in the last four quarters.",10 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/jindal-steel-power-shares-tumble-14-heres-what-triggered-the-fall
135,Suzlon Energy shares soar 16% in three days on strong Q3 earnings report,"Suzlon Energy share price: Suzlon achieved its highest-ever quarterly deliveries, reaching 447 MW in Q3 FY25. The wind turbine generator segment was the key growth driver, with revenue soaring 132% year-on-year (YoY) to Rs 2,336 crore, compared to Rs 1,004 crore in the same period last year.",10 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/suzlon-energy-shares-soar-16-in-three-days-on-strong-q3-earnings-report/articleshow/117772930.cms
136,"Budget 2025: RVNL, ICICI Bank, Tata Motors among top 75 stocks to buy from brokerages","Brokerages expect a capex-driven budget prioritizing infrastructure, defense, railways, and financials while maintaining fiscal discipline. Key stock picks include L&T, HAL, BEL, SBI, and Maruti Suzuki. Sectors like renewable energy, real estate, auto, and BFSI may see policy boosts, while tax stability on STT and LTCG could support market sentiment.",10 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/budget-2025-rvnl-icici-bank-tata-motors-among-top-75-stocks-to-buy-from-brokerages/articleshow/117772816.cms
137,"Titan, Jubilant FoodWorks Get Upgrade From Morgan Stanley Despite Weak Consumption Trends","Titan's steady growth strategy, which focuses on capturing a larger share of the gold and jewellery market, stands out as a key differentiator, the brokerage said.",10 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/titan-jubilant-foodworks-get-upgrade-from-morgan-stanley-despite-weak-consumption-trends
138,IT and banking stocks poised for recovery after market slump: Dinshaw Irani,"​But I think that sector is going to do very well. So, I agree with you, this is the way to go about. I mean, in fact, these are the times when the SIPs can really generate positive alpha going forward, I mean massive positive alpha going forward.",10 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/it-and-banking-stocks-poised-for-recovery-after-market-slump-dinshaw-irani/articleshow/117772465.cms
139,Waaree Energies shares surge 14% as Q3 profit soars 296% YoY to Rs 493 crore,"Waaree Energies’ shares surged 14.4% to Rs 2,505.85 after reporting a 296% YoY rise in net profit to Rs 493 crore for Q3FY25. Revenue from operations rose 117% YoY to Rs 3,457 crore, though it declined 3.2% sequentially. Profit after tax (PAT) increased by 36% from the previous quarter, reflecting strong growth despite a slight revenue dip.",10.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/waaree-energies-shares-surge-14-as-q3-profit-soars-296-yoy-to-rs-493-crore/articleshow/117772451.cms
140,Kalyan Jewellers Eyes Margin Expansion From FY27 With COCO Model,"Kalyan Jewellers reported a 44% growth in profit after tax, adjusting for the impact of customs-duty reduction.",10.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/business/kalyan-jewellers-eyes-margin-expansion-from-fy27-with-coco-model
141,Adani Enterprises Q3: Debt-Interest Coverage Ratio Stable; New Businesses Add Rs 473 Crore To Bottomline,"In the December quarter, the company’s operating income rose 26% to Rs 12,377 crore for the first nine months of the ongoing financial year.",10.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/quarterly-earnings/adani-enterprises-q3-explained-debt-interest-coverage-ratio-stable
142,IGL shares begin trading ex-bonus today,"Indraprastha Gas Ltd (IGL) shares began trading ex-bonus on January 31, 2025, after announcing a 1:1 bonus share issue. The record date for eligibility is January 31, with shares allocated on February 3. IGL, issuing bonus shares for the first time, has seen its stock decline 7.3% in the past year, with a 27.3% drop in the last six months.",10.5 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/igl-shares-begin-trading-ex-bonus-today/articleshow/117771955.cms
143,Praj Industries Share Price Down On Weak Q3 Earnings,"Praj Industries' consolidated net profit declined by 42% year-over-year to Rs 41.10 crore, missing the Bloomberg consensus estimate of Rs 78 crore.",10.5 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/praj-industries-share-price-down-on-weak-q3-earnings
144,Jindal Steel Shares Hit 11-Month Low After Q3 Net Profit Falls 50%,"Morgan Stanley has maintained its 'overweight' rating on Jindal Steel stock, with target of Rs 1,200.",11 hours ago,— Bloomberg Quint,https://www.ndtvprofit.com/markets/jindal-steel-share-price-hits-lowest-in-11-months-after-q3-net-profit-falls-50
145,"Stocks to buy in 2025: RIL, Maruti Suzuki among top 5 stocks that can give 15-30% returns","Bank of America, Investec, Nomura, and Morgan Stanley have reiterated their positive stances on select stocks for 2025. They identify Reliance Industries, Maruti Suzuki, Bajaj Finance, CarTrade, and Ambuja Cements as having strong growth potential, projecting returns between 15-29%. Investors are advised to consider these recommendations for potential gains.",11 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-in-2025-ril-maruti-suzuki-among-top-5-stocks-that-can-give-15-30-returns/slideshow/117771249.cms
146,"Budget 2025: Market positioned for short-covering rally on positive news, says Sandip Sabharwal","Wherever there are good results stocks are reacting positively, bad results are also being punished quite hard. So, that is the nature of the market because conviction is somewhat lacking at this stage.",11 hours ago,— Economic Times,https://economictimes.indiatimes.com/markets/expert-view/budget-2025-market-positioned-for-short-covering-rally-on-positive-news-says-sandip-sabharwal/articleshow/117770709.cms
